,start_date,FIRE_SIZE_CLASS,category,cause,size,lat,lon,buinfdr,ercnfdr,icnfdr,scnfdr,u10,v10,t2m,blh,cape,lai_hv,lai_lv,slt
0,2002-05-29,A,Human,Railroad operations and maintenance,0.1,40.01861111,-120.95166667,,,,,,,,,,,,
1,2004-04-07,B,Human,Arson/incendiarism,2.5,46.9777,-95.3739,,,,,,,,,,,,
2,1997-05-07,B,Human,Debris and open burning,0.3,38.99194444,-121.31111111,,,,,,,,,,,,
3,2005-10-04,A,Human,Equipment and vehicle use,0.002,41.09442999,-78.52130002,,,,,,,,,,,,
4,2010-11-11,B,Human,Missing data/not specified/undetermined,0.97,41.71650803,-73.79907003,0.0,6.0,0.0,0.0,-8.710205078125,-16.894973754882812,283.12335205078125,1271.3011474609375,12.03125,0.0,0.0,0.0
5,2001-04-28,B,Human,Missing data/not specified/undetermined,1.08,43.10356959,-74.116406,,,,,,,,,,,,
6,2012-07-24,A,Natural,Natural,0.1,34.7189,-107.9271,0.0,0.0,0.0,0.0,6.445578575134277,-1.4431695938110352,298.88623046875,699.9393310546875,873.5,0.0,0.0,0.0
7,2001-08-16,B,Natural,Natural,4.0,46.84722222,-114.84944444,,,,,,,,,,,,
8,2017-05-20,A,Human,Missing data/not specified/undetermined,0.2,43.75867,-70.49232,0.0,8.0,0.0,0.0,,,,,,,,
9,1994-08-03,A,Natural,Natural,0.1,46.22333333,-121.96166667,,,,,,,,,,,,
10,2011-03-18,B,Human,Debris and open burning,1.0,29.231348,-99.798667,19.0,8.0,13.0,7.0,2.8273773193359375,-6.33447265625,291.68218994140625,812.9473876953125,0.0625,0.0,0.0,0.0
11,2013-04-17,A,Human,Recreation and ceremony,0.1,32.86194444,-108.28972222,96.0,71.0,53.0,26.0,-6.791082382202148,1.9775733947753906,291.83599853515625,607.75048828125,3.6875,0.0,0.0,0.0
12,1996-04-19,B,Human,Debris and open burning,3.77,32.664,-83.0074,,,,,,,,,,,,
13,2011-06-22,A,Natural,Natural,0.1,42.41520003,-76.98585395,0.0,0.0,0.0,0.0,-3.372115135192871,-0.4390592575073242,284.913330078125,115.07129669189453,0.0,0.0,0.0,0.0
14,2018-12-11,B,Human,Debris and open burning,1.107,36.771148,-91.888721,7.0,6.0,5.0,1.0,,,,,,,,
15,2005-09-06,A,Human,Missing data/not specified/undetermined,0.15,40.736464,-73.52103202,,,,,,,,,,,,
16,1998-11-28,B,Human,Misuse of fire by a minor,2.0,27.15,-80.34,,,,,,,,,,,,
17,2018-01-04,B,Human,Debris and open burning,0.3,28.3946,-97.7399,0.0,2.0,0.0,0.0,,,,,,,,
18,2009-04-13,B,Human,Other causes,0.7,43.4525,-85.57861111,,,,,,,,,,,,
19,1992-08-19,A,Natural,Natural,0.1,45.17333333,-117.655,,,,,,,,,,,,
20,2009-09-04,A,Human,Equipment and vehicle use,0.21,32.32265217,-83.44471966,,,,,,,,,,,,
21,2014-03-24,B,Human,Arson/incendiarism,8.0,34.61984,-92.44192,10.0,5.0,4.0,3.0,,,,,,,,
22,2019-06-27,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.01,32.25552047,-109.8305491,23.0,42.0,29.0,2.0,,,,,,,,
23,1997-10-08,C,Human,Missing data/not specified/undetermined,16.0,30.205,-89.6958,,,,,,,,,,,,
24,2015-08-04,C,Missing data/not specified/undetermined,Missing data/not specified/undetermined,10.0,37.143983,-120.274369,41.0,58.0,23.0,5.0,,,,,,,,
25,1998-10-23,C,Human,Arson/incendiarism,35.0,34.2147,-87.7133,,,,,,,,,,,,
26,1999-05-31,A,Natural,Natural,0.1,26.15406,-80.94957,,,,,,,,,,,,
27,2010-11-12,A,Human,Smoking,0.1,35.3515,-81.44333333,7.0,6.0,6.0,1.0,-8.639732360839844,-8.064559936523438,293.8660888671875,1086.952392578125,19.578125,0.0,0.0,0.0
28,2017-06-27,B,Natural,Natural,3.0,44.1754,-102.1217,9.0,2.0,9.0,5.0,,,,,,,,
29,2008-09-15,B,Human,Missing data/not specified/undetermined,1.0,36.72611111,-119.23611111,,,,,,,,,,,,
30,2007-03-08,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.5,36.51213,-81.15199,,,,,,,,,,,,
31,1992-04-30,B,Human,Debris and open burning,2.1,43.74721613,-89.99254019,,,,,,,,,,,,
32,2001-09-15,B,Natural,Natural,3.0,44.57222222,-121.71638889,,,,,,,,,,,,
33,2020-02-12,A,Human,Debris and open burning,0.25,37.52444515,-88.57022701,0.0,0.0,0.0,0.0,,,,,,,,
34,1999-08-17,C,Human,Arson/incendiarism,85.0,37.08583333,-84.21916667,,,,,,,,,,,,
35,2016-02-18,B,Human,Debris and open burning,1.0,31.96035085,-90.37616506,18.0,24.0,13.0,2.0,,,,,,,,
36,2004-03-13,A,Human,Missing data/not specified/undetermined,0.1,40.00722222,-122.11138889,,,,,,,,,,,,
37,2010-05-12,A,Human,Debris and open burning,0.01,39.508674,-121.514474,7.0,7.0,7.0,1.0,2.847686767578125,-2.5955162048339844,282.9820251464844,1186.96826171875,0.6875,0.0,0.0,0.0
38,2017-03-22,B,Human,Debris and open burning,0.5,32.01363333,-83.87416389,21.0,13.0,20.0,5.0,,,,,,,,
39,2001-10-10,A,Human,Arson/incendiarism,0.12,45.29363,-123.39392,,,,,,,,,,,,
40,2013-06-22,A,Human,Missing data/not specified/undetermined,0.1,32.2967,-111.0064,69.0,82.0,61.0,11.0,-1.150838851928711,0.1493511199951172,297.24169921875,393.96282958984375,552.0,0.0,0.0,0.0
41,2010-06-16,A,Human,Missing data/not specified/undetermined,0.1,30.2012,-82.6594,15.0,17.0,16.0,2.0,3.4666748046875,-2.130922317504883,298.029541015625,374.950927734375,67.875,0.0,0.0,0.0
42,2020-01-04,A,Human,Missing data/not specified/undetermined,0.1,32.676359,-114.620777,15.0,31.0,16.0,1.0,,,,,,,,
43,2004-09-05,A,Human,Recreation and ceremony,0.1,45.22888889,-121.69888889,,,,,,,,,,,,
44,2007-07-29,B,Human,Missing data/not specified/undetermined,0.3,45.37051669,-93.86816223,,,,,,,,,,,,
45,2001-04-01,B,Human,Missing data/not specified/undetermined,0.5,35.7625,-106.6978,,,,,,,,,,,,
46,2000-05-11,B,Human,Debris and open burning,0.5,36.21805555,-119.48388888,,,,,,,,,,,,
47,2008-06-20,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.1,39.092299,-121.578848,,,,,,,,,,,,
48,2005-08-11,B,Human,Debris and open burning,3.0,32.31502999,-97.96602998,,,,,,,,,,,,
49,1998-09-07,C,Natural,Natural,10.0,44.7082,-117.5363,,,,,,,,,,,,
50,2013-11-29,A,Human,Missing data/not specified/undetermined,0.1,33.860462,-87.540207,7.0,7.0,10.0,1.0,-3.0151405334472656,-7.105902671813965,291.1479187011719,1437.7376708984375,0.09375,0.0,0.0,0.0
51,2000-05-25,B,Human,Equipment and vehicle use,1.0,28.6,-82.53,,,,,,,,,,,,
52,1998-03-31,B,Human,Debris and open burning,1.0,34.8978,-87.9642,,,,,,,,,,,,
53,2015-09-24,B,Human,Debris and open burning,0.5,44.54092,-68.632598,0.0,7.0,0.0,0.0,,,,,,,,
54,2009-07-12,B,Natural,Natural,0.3,38.2903,-108.5442,,,,,,,,,,,,
55,2011-01-03,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1.0,18.050814,-66.354919,0.0,0.0,0.0,0.0,-7.090973854064941,-6.28857421875,297.9498596191406,1396.68017578125,0.0,0.0,0.0,0.0
56,2015-06-19,A,Natural,Natural,0.25,44.03888889,-115.68555556,14.0,10.0,15.0,3.0,,,,,,,,
57,2018-04-24,E,Human,Debris and open burning,402.0,41.86798138,-92.28597291,9.0,11.0,7.0,1.0,,,,,,,,
58,2008-03-30,B,Human,Recreation and ceremony,3.0,41.0655,-74.3807,,,,,,,,,,,,
59,2003-12-03,B,Human,Debris and open burning,1.42,31.36167756,-83.73979625,,,,,,,,,,,,
