,id,name,start_date,FIRE_SIZE_CLASS,cause,end_date,size,lat,lon,state,start_year,start_month,start_day_of_year,end_year,end_month,end_day_of_year,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,prcp_30
0,51499,,1992-07-31,A,Human,1992-07-31,0.1,44.86333333,-122.26333333,OR,1992,7,213,1992.0,7.0,213.0,21.4,13.9,30.6,0.0,0.0,,10.4,25.9,1015.6,,12.7
1,115231,AUSTIN RIDGE,1999-09-11,A,Natural,1999-09-12,0.1,46.33083333,-115.65111111,ID,1999,9,254,1999.0,9.0,255.0,17.2,10.0,24.4,0.0,,,7.9,,1021.0,,10.899999999999999
2,1791780,TRAIL,2015-08-27,B,Natural,2015-08-27,1.0,32.69305556,-116.46277778,CA,2015,8,239,2015.0,8.0,239.0,26.4,17.2,36.1,0.0,,,10.6,,,,0.8
3,794378,,1996-07-22,B,Human,1996-07-22,0.9,44.26717536,-89.25740413,WI,1996,7,204,1996.0,7.0,204.0,,16.1,26.1,0.0,0.0,,,,,,93.0
4,1985089,N/A,2017-04-15,B,Human,2017-04-15,4.7,44.894,-73.5543,NY,2017,4,105,2017.0,4.0,105.0,9.0,-1.5,19.5,9.5,0.0,,,,,,72.4
5,186835,E1NN2025,1995-06-27,B,Natural,1995-06-27,1.3,35.0167,-109.184,AZ,1995,6,178,1995.0,6.0,178.0,18.5,5.6,28.9,0.0,,,11.3,,1014.7,,0.0
6,2204651,NOT NAMED,2019-09-09,A,Missing data/not specified/undetermined,2019-09-09,0.01,33.92618873,-112.1110207,AZ,2019,9,252,2019.0,9.0,252.0,30.7,26.7,35.0,0.0,,,,,1007.3,,2.6
7,149354,WOODS,2002-06-14,A,Human,2002-06-14,0.1,39.50083333,-120.385,CA,2002,6,165,2002.0,6.0,165.0,17.2,13.9,20.6,0.0,,,7.4,,1012.7,,0.0
8,2112545,54,2018-06-11,C,Missing data/not specified/undetermined,2018-06-11,20.0,33.656596,-116.212654,CA,2018,6,162,2018.0,6.0,162.0,33.8,26.1,42.2,0.0,,,,,1004.2,,0.0
9,165156,SECTION 18,2004-03-22,A,Human,2004-03-22,0.1,30.225,-82.35166667,FL,2004,3,82,2004.0,3.0,82.0,12.2,5.6,18.3,0.0,,,14.0,,,0.0,98.1
10,1635399,0511,2013-08-07,A,Natural,2013-08-07,0.1,43.485,-122.025,OR,2013,8,219,2013.0,8.0,219.0,21.3,13.0,29.0,0.0,,,8.0,,,,0.0
11,1008836,,1994-12-08,B,Human,,8.0,34.8083,-79.675,NC,1994,12,342,,,,14.7,8.8,20.0,0.0,,26.0,15.0,,1024.1,,0.0
